GENERATION;AVERAGE;MAX POINTS;AGGREGATED HEIGHT;COMPLETE LINES;HOLES;BUMPINESS
0;0.0889964;3880;0.132802;-0.00263846;-0.344799;-0.0387222
1;0.340339;7360;0.132802;-0.00263846;-0.344799;-0.0387222
2;0.391229;9400;-0.303868;-0.00263846;-0.344799;-0.133058
3;0.621674;13160;0.132802;-0.00263846;-0.344799;-0.0387222
4;0.483866;17140;-0.391984;-0.00263846;-0.344799;-0.133058
5;0.497909;21180;0.0050025;-0.00263846;-0.344799;-0.0387222
6;0.511806;31340;-0.391984;-0.00263846;-0.176429;-0.0387222
7;0.562918;22540;-0.287417;0.485579;-0.344799;-0.0387222
8;0.386525;20240;-0.303868;-0.00263846;-0.176429;-0.0490681
9;0.278646;24600;-0.287417;0.485579;-0.344799;-0.0387222
10;0.473625;30440;0.132802;-0.00263846;-0.344799;-0.0387222
11;0.366327;22820;0.0050025;0.2166;-0.344799;-0.0387222
12;0.721845;34180;-0.287417;0.2166;-0.344799;-0.0387222
13;0.304185;28860;0.0050025;0.2166;-0.344799;-0.0375153
14;0.428559;33200;0.0050025;0.2166;-0.344799;-0.0387222
15;0.5542;33760;0.0050025;0.338425;-0.344799;-0.0387222
16;0.487;35180;-0.130915;0.485579;-0.344799;-0.0387222
17;0.639612;40820;-0.130915;0.485579;-0.275864;-0.0387222
18;0.541057;36460;0.132802;0.104825;-0.344799;-0.0387222
19;0.570358;38900;0.132802;0.104825;-0.344799;-0.0387222
20;0.600245;45000;0.0216177;0.104825;-0.279117;-0.0387222
21;0.802315;48560;0.0216177;0.104825;-0.279117;-0.0387222
22;0.532349;54060;0.0216177;0.104825;-0.344799;-0.0387222
23;0.428771;49080;0.132802;0.104825;-0.344799;-0.0387222
24;0.550951;52740;0.132802;0.2166;-0.344799;-0.0387222
25;0.564757;54880;0.118166;0.104825;-0.344799;-0.0387222
26;0.50634;51440;0.132802;0.104414;-0.344799;-0.0387222
27;0.838041;54360;0.132802;0.2166;-0.344799;-0.0387222
28;0.466238;54040;0.132802;0.2166;-0.344799;-0.0387222
29;0.469415;44480;0.132802;0.2166;-0.344799;-0.0387222
30;0.346061;66480;0.132802;0.0688982;-0.344799;-0.0387222
31;0.49137;66640;0.132802;0.2166;-0.344799;-0.0387222
32;0.760004;67620;0.132802;0.104825;-0.344799;-0.0387222
33;0.794264;76240;0.132802;0.0688982;-0.344799;-0.0387222
34;0.857529;72940;0.132802;0.0688982;-0.344799;-0.0387222
35;0.652163;73580;0.132802;0.104414;-0.344799;-0.0387222
36;0.604613;67920;0.132802;0.2166;-0.344799;-0.0387222
37;0.2258;75380;0.132802;0.104414;-0.344799;-0.0387222
38;0.712584;73660;0.132802;0.2166;-0.344799;-0.0387222
39;0.710767;53020;0.132802;0.104414;-0.344799;-0.0387222
40;0.924083;81200;0.132802;0.2166;-0.344799;-0.0387222
41;0.798618;81180;0.132802;0.2166;-0.344799;-0.0387222
42;0.506796;76520;0.179006;0.2166;-0.344799;-0.0387222
43;0.933057;72880;0.132802;0.2166;-0.344799;-0.0387222
